2026-04-11T11:03:14 UTC | Loading BPF program from /home/litaliano00-dev/PysiAdmin/ebpf/probes/exec_monitor.c
2026-04-11T11:03:18 UTC | Tracing execve syscalls — Ctrl+C to stop.
2026-04-11T11:09:27 UTC | EXEC | pid=353330 ppid=353321 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:09:27 UTC | EXEC | pid=353332 ppid=353331 uid=1000   comm=bwrap                file=
2026-04-11T11:09:38 UTC | EXEC | pid=353339 ppid=196354 uid=0      comm=dnsmasq              file=
2026-04-11T11:12:21 UTC | EXEC | pid=353377 ppid=903    uid=0      comm=(sd-worker)          file=
2026-04-11T11:13:23 UTC | EXEC | pid=353398 ppid=4716   uid=1000   comm=pool-1454            file=
2026-04-11T11:13:23 UTC | EXEC | pid=353398 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:13:23 UTC | EXEC | pid=353400 ppid=353399 uid=1000   comm=bwrap                file=
2026-04-11T11:13:23 UTC | EXEC | pid=353405 ppid=353400 uid=1000   comm=blocking-2           file=
2026-04-11T11:13:23 UTC | EXEC | pid=353407 ppid=353406 uid=1000   comm=bwrap                file=
2026-04-11T11:13:23 UTC | EXEC | pid=353409 ppid=353400 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:13:23 UTC | EXEC | pid=353411 ppid=353410 uid=1000   comm=bwrap                file=
2026-04-11T11:13:37 UTC | EXEC | pid=353425 ppid=903    uid=0      comm=(sd-worker)          file=
2026-04-11T11:13:37 UTC | EXEC | pid=353426 ppid=903    uid=0      comm=(sd-worker)          file=
2026-04-11T11:13:51 UTC | EXEC | pid=353431 ppid=4716   uid=1000   comm=pool-1456            file=
2026-04-11T11:13:51 UTC | EXEC | pid=353431 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:13:51 UTC | EXEC | pid=353434 ppid=353432 uid=1000   comm=bwrap                file=
2026-04-11T11:13:51 UTC | EXEC | pid=353439 ppid=353434 uid=1000   comm=blocking-2           file=
2026-04-11T11:13:51 UTC | EXEC | pid=353441 ppid=353440 uid=1000   comm=bwrap                file=
2026-04-11T11:13:51 UTC | EXEC | pid=353443 ppid=353434 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:13:51 UTC | EXEC | pid=353445 ppid=353444 uid=1000   comm=bwrap                file=
2026-04-11T11:13:52 UTC | EXEC | pid=353453 ppid=4716   uid=1000   comm=pool-1456            file=
2026-04-11T11:13:52 UTC | EXEC | pid=353453 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:13:52 UTC | EXEC | pid=353455 ppid=353454 uid=1000   comm=bwrap                file=
2026-04-11T11:13:52 UTC | EXEC | pid=353460 ppid=353455 uid=1000   comm=blocking-2           file=
2026-04-11T11:13:52 UTC | EXEC | pid=353462 ppid=353461 uid=1000   comm=bwrap                file=
2026-04-11T11:13:52 UTC | EXEC | pid=353464 ppid=353455 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:13:52 UTC | EXEC | pid=353467 ppid=353465 uid=1000   comm=bwrap                file=
2026-04-11T11:13:52 UTC | EXEC | pid=353471 ppid=4716   uid=1000   comm=pool-1456            file=
2026-04-11T11:13:52 UTC | EXEC | pid=353471 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:13:52 UTC | EXEC | pid=353473 ppid=353472 uid=1000   comm=bwrap                file=
2026-04-11T11:13:52 UTC | EXEC | pid=353478 ppid=353473 uid=1000   comm=blocking-2           file=
2026-04-11T11:13:52 UTC | EXEC | pid=353480 ppid=353479 uid=1000   comm=bwrap                file=
